,word,char0,char1,char2,char3,char4,score
2298,sales,s,a,l,e,s,0.6517509727626457
1878,panel,p,a,n,e,l,0.5342412451361866
2442,sleep,s,l,e,e,p,0.49844357976653686
1492,later,l,a,t,e,r,0.4933852140077819
2725,tired,t,i,r,e,d,0.49027237354085584
337,brief,b,r,i,e,f,0.4875486381322954
2382,sheet,s,h,e,e,t,0.4863813229571982
2899,water,w,a,t,e,r,0.48287937743190634
241,basis,b,a,s,i,s,0.4750972762645912
2295,salad,s,a,l,a,d,0.4750972762645912
1870,paint,p,a,i,n,t,0.47431906614785974
632,cover,c,o,v,e,r,0.4739299610894939
1880,paper,p,a,p,e,r,0.47003891050583635
488,coast,c,o,a,s,t,0.4700389105058363
1678,money,m,o,n,e,y,0.46848249027237326
2369,seven,s,e,v,e,n,0.4669260700389102
1295,hotel,h,o,t,e,l,0.46381322957198423
1648,meter,m,e,t,e,r,0.46264591439688685
443,chief,c,h,i,e,f,0.45758754863813206
2468,solid,s,o,l,i,d,0.457587548638132
1672,model,m,o,d,e,l,0.45642023346303484
1977,point,p,o,i,n,t,0.45603112840466903
1478,label,l,a,b,e,l,0.456031128404669
303,board,b,o,a,r,d,0.45603112840466886
1590,maker,m,a,k,e,r,0.45447470817120594
2466,solar,s,o,l,a,r,0.45447470817120594
1286,honey,h,o,n,e,y,0.4498054474708169
2621,sweet,s,w,e,e,t,0.44863813229571964
2882,voter,v,o,t,e,r,0.4486381322957196
834,eager,e,a,g,e,r,0.44785992217898807
2486,sound,s,o,u,n,d,0.44785992217898807
1502,layer,l,a,y,e,r,0.44747081712062237
2753,tower,t,o,w,e,r,0.44708171206225655
464,class,c,l,a,s,s,0.44669260700389074
2536,steel,s,t,e,e,l,0.44280155642023333
2620,sweep,s,w,e,e,p,0.44163424124513606
2013,power,p,o,w,e,r,0.440077821011673
485,coach,c,o,a,c,h,0.43968871595330716
2502,speed,s,p,e,e,d,0.43813229571984413
1572,lover,l,o,v,e,r,0.438132295719844
2670,terms,t,e,r,m,s,0.4361867704280153
239,basic,b,a,s,i,c,0.4342412451361865
2597,super,s,u,p,e,r,0.431906614785992
2971,works,w,o,r,k,s,0.4311284046692605
1011,faith,f,a,i,t,h,0.4307392996108947
655,cross,c,r,o,s,s,0.42996108949416306
2483,sorry,s,o,r,r,y,0.4295719844357974
2489,south,s,o,u,t,h,0.4280155642023344
1574,lower,l,o,w,e,r,0.42645914396887136
623,count,c,o,u,n,t,0.4241245136186768
1719,naked,n,a,k,e,d,0.42256809338521373
1199,grass,g,r,a,s,s,0.4202334630350192
2380,sharp,s,h,a,r,p,0.4190661478599219
2354,sense,s,e,n,s,e,0.41828793774319045
1244,heart,h,e,a,r,t,0.4167315175097273
1528,level,l,e,v,e,l,0.41595330739299585
1169,giant,g,i,a,n,t,0.41517509727626445
2307,sauce,s,a,u,c,e,0.41478599221789864
2144,react,r,e,a,c,t,0.4147859922178985
328,brand,b,r,a,n,d,0.41478599221789847
264,being,b,e,i,n,g,0.414007782101167
1512,least,l,e,a,s,t,0.4132295719844355
1041,fewer,f,e,w,e,r,0.4124513618677041
1446,joint,j,o,i,n,t,0.4116731517509725
1774,novel,n,o,v,e,l,0.41128404669260665
2120,quiet,q,u,i,e,t,0.41089494163424106
687,death,d,e,a,t,h,0.41011673151750944
2740,tooth,t,o,o,t,h,0.4101167315175094
1042,fiber,f,i,b,e,r,0.40856031128404646
1683,moral,m,o,r,a,l,0.40856031128404646
248,beach,b,e,a,c,h,0.4081712062256806
2712,three,t,h,r,e,e,0.4077821011673149
630,court,c,o,u,r,t,0.40739299610894913
395,carry,c,a,r,r,y,0.4070038910505834
105,alter,a,l,t,e,r,0.4066147859922177
2173,refer,r,e,f,e,r,0.40428015564202313
162,armed,a,r,m,e,d,0.4038910505836574
2389,shirt,s,h,i,r,t,0.4038910505836572
2377,shall,s,h,a,l,l,0.4035019455252916
2646,teach,t,e,a,c,h,0.4035019455252915
2527,start,s,t,a,r,t,0.4031128404669258
1680,month,m,o,n,t,h,0.4031128404669258
1103,forth,f,o,r,t,h,0.4027237354085601
2522,stand,s,t,a,n,d,0.4027237354085601
2425,since,s,i,n,c,e,0.4023346303501943
2266,river,r,i,v,e,r,0.4019455252918286
501,color,c,o,l,o,r,0.40038910505836545
1961,plant,p,l,a,n,t,0.39883268482490253
1178,glass,g,l,a,s,s,0.3988326848249025
2034,press,p,r,e,s,s,0.398054474708171
2049,print,p,r,i,n,t,0.39805447470817096
813,dozen,d,o,z,e,n,0.3980544747081709
463,claim,c,l,a,i,m,0.39766536964980514
1694,mount,m,o,u,n,t,0.3968871595330737
400,catch,c,a,t,c,h,0.3964980544747079
839,earth,e,a,r,t,h,0.39610894941634217
1893,party,p,a,r,t,y,0.39533073929961066
2763,trail,t,r,a,i,l,0.3953307392996106
1027,fault,f,a,u,l,t,0.394941634241245
1198,grant,g,r,a,n,t,0.3945525291828791
437,cheek,c,h,e,e,k,0.39416342412451344
2131,raise,r,a,i,s,e,0.3929961089494161
1204,green,g,r,e,e,n,0.3918287937743188
1746,never,n,e,v,e,r,0.391439688715953
2744,total,t,o,t,a,l,0.39105058365758727
2742,topic,t,o,p,i,c,0.3906614785992215
1945,piano,p,i,a,n,o,0.38910505836575865
2520,stair,s,t,a,i,r,0.3891050583657586
1907,peace,p,e,a,c,e,0.3887159533073928
620,could,c,o,u,l,d,0.38832684824902697
822,dress,d,r,e,s,s,0.3879377431906612
2398,short,s,h,o,r,t,0.38793774319066116
2379,share,s,h,a,r,e,0.3875486381322954
2973,world,w,o,r,l,d,0.3863813229571982
1992,porch,p,o,r,c,h,0.38560311284046667
2451,smart,s,m,a,r,t,0.3856031128404666
2976,worth,w,o,r,t,h,0.3852140077821009
433,chart,c,h,a,r,t,0.38521400778210085
2996,yours,y,o,u,r,s,0.38521400778210085
