,word,char0,char1,char2,char3,char4,score
277849,sanes,s,a,n,e,s,0.6739299610894941
297589,sores,s,o,r,e,s,0.6568093385214007
297194,sones,s,o,n,e,s,0.6556420233463034
276984,sales,s,a,l,e,s,0.6517509727626457
278694,sates,s,a,t,e,s,0.6455252918287937
285989,seres,s,e,r,e,s,0.6357976653696497
47939,cares,c,a,r,e,s,0.6342412451361866
296676,soles,s,o,l,e,s,0.633463035019455
46280,canes,c,a,n,e,s,0.6330739299610894
27921,bares,b,a,r,e,s,0.6237354085603112
27409,banes,b,a,n,e,s,0.6225680933852138
276496,sades,s,a,d,e,s,0.6194552529182878
292343,sires,s,i,r,e,s,0.6194552529182878
316566,tares,t,a,r,e,s,0.6190661478599221
291637,sines,s,i,n,e,s,0.6182879377431906
276651,sages,s,a,g,e,s,0.6178988326848247
69042,cores,c,o,r,e,s,0.6159533073929959
65756,cones,c,o,n,e,s,0.6147859922178986
226415,pares,p,a,r,e,s,0.6120622568093385
224571,panes,p,a,n,e,s,0.6108949416342412
276071,sabes,s,a,b,e,s,0.609338521400778
279077,saves,s,a,v,e,s,0.6085603112840465
179957,mares,m,a,r,e,s,0.6070038910505835
179093,manes,m,a,n,e,s,0.6058365758754862
109922,fares,f,a,r,e,s,0.6054474708171206
38422,bores,b,o,r,e,s,0.6054474708171205
49602,cates,c,a,t,e,s,0.604669260700389
109697,fanes,f,a,n,e,s,0.6042801556420232
37863,bones,b,o,n,e,s,0.6042801556420231
76916,dares,d,a,r,e,s,0.6019455252918287
277843,saned,s,a,n,e,d,0.6007782101167314
326089,tores,t,o,r,e,s,0.6007782101167314
76746,danes,d,a,n,e,s,0.6007782101167314
26835,bales,b,a,l,e,s,0.6003891050583655
325521,tones,t,o,n,e,s,0.599610894941634
279219,saxes,s,a,x,e,s,0.5988326848249027
168490,lares,l,a,r,e,s,0.5984435797665368
277848,saner,s,a,n,e,r,0.5984435797665368
276884,sakes,s,a,k,e,s,0.5980544747081711
168065,lanes,l,a,n,e,s,0.5972762645914396
315599,tales,t,a,l,e,s,0.5957198443579764
277003,salet,s,a,l,e,t,0.5957198443579763
51469,ceres,c,e,r,e,s,0.5949416342412449
276573,safes,s,a,f,e,s,0.5945525291828793
28903,bates,b,a,t,e,s,0.5941634241245134
243396,pores,p,o,r,e,s,0.5937743190661477
276826,sains,s,a,i,n,s,0.593385214007782
243020,pones,p,o,n,e,s,0.5926070038910505
62715,coles,c,o,l,e,s,0.5926070038910504
292618,sites,s,i,t,e,s,0.5898832684824902
316976,tates,t,a,t,e,s,0.5894941634241243
193405,mores,m,o,r,e,s,0.5887159533073928
223809,pales,p,a,l,e,s,0.5887159533073928
276979,salep,s,a,l,e,p,0.5887159533073928
133749,hares,h,a,r,e,s,0.5883268482490271
48841,cases,c,a,s,e,s,0.588326848249027
362620,wares,w,a,r,e,s,0.5879377431906614
116916,fores,f,o,r,e,s,0.5871595330739299
362395,wanes,w,a,n,e,s,0.586770428015564
70304,cotes,c,o,t,e,s,0.5863813229571982
